__  Vanity of vanities __  _ says the Preacher _ __ Vanity of vanities! All is vanity. __  ,__  Vanity of vanities __  _ says the Preacher _ __ Vanity of vanities! All is vanity. __  
What advantage does man have in all his work Which he does under the sun? ,What advantage does man have in all his work Which he does under the sun? 
A generation goes and a generation comes _ But the earth remains forever. ,A generation goes and a generation comes _ But the earth remains forever. 
Also _ the sun rises and the sun sets _ And hastening to its place it rises there  _ again.,Also _ the sun rises and the sun sets _ And hastening to its place it rises there  _ again.
Blowing toward the south _ Then turning toward the north _ The wind continues swirling along _ And on its circular courses the wind returns. ,Blowing toward the south _ Then turning toward the north _ The wind continues swirling along _ And on its circular courses the wind returns. 
All the rivers flow into the sea _ Yet the sea is not full. To the place where the rivers flow _ There they flow again. ,All the rivers flow into the sea _ Yet the sea is not full. To the place where the rivers flow _ There they flow again. 
All things are wearisome _ Man is not able to tell  _ it. _ The eye is not satisfied with seeing _ Nor is the ear filled with hearing. ,All things are wearisome _ Man is not able to tell  _ it. _ The eye is not satisfied with seeing _ Nor is the ear filled with hearing. 
That which has been is that which will be _ And that which has been done is that which will be done. So there is nothing new under the sun. ,That which has been is that which will be _ And that which has been done is that which will be done. So there is nothing new under the sun. 
Is there anything of which one might say _ __ See this _ it is new __ ? Already it has existed for ages Which were before us. ,Is there anything of which one might say _ __ See this _ it is new __ ? Already it has existed for ages Which were before us. 
There is no remembrance of earlier things _ And also of the later things which will occur _ There will be for them no remembrance Among those who will come later  _ still.,There is no remembrance of earlier things _ And also of the later things which will occur _ There will be for them no remembrance Among those who will come later  _ still.
I _ the Preacher _ have been king over Israel in Jerusalem. ,I _ the Preacher _ have been king over Israel in Jerusalem. 
And I set my mind to seek and explore by wisdom concerning all that has been done under heaven.  _ It _ is a grievous task  _ which _ God has given to the sons of men to be afflicted with. ,And I set my mind to seek and explore by wisdom concerning all that has been done under heaven.  _ It _ is a grievous task  _ which _ God has given to the sons of men to be afflicted with. 
I have seen all the works which have been done under the sun _ and behold _ all is vanity and striving after wind. ,I have seen all the works which have been done under the sun _ and behold _ all is vanity and striving after wind. 
What is crooked cannot be straightened and what is lacking cannot be counted. ,What is crooked cannot be straightened and what is lacking cannot be counted. 
I said to myself _ __ Behold _ I have magnified and increased wisdom more than all who were over Jerusalem before me _ and my mind has observed a wealth of wisdom and knowledge. __  ,I said to myself _ __ Behold _ I have magnified and increased wisdom more than all who were over Jerusalem before me _ and my mind has observed a wealth of wisdom and knowledge. __  
